83;1831;1252
81;1803;1257
77;1754;1224
77;1754;1225
85;1882;1210
81;1802;1231
85;1881;1195
80;1741;1197
83;1834;1189
81;1703;1185
81;1703;1185
81;1708;1173
81;1708;1174
80;1804;1199
81;1704;1140
81;1704;1140
81;1702;1157
81;1706;1138
81;1707;1157
81;1707;1157
81;1707;1155
81;1707;1145
81;1707;1145
81;1707;1128
81;1707;1128
80;1702;1147
81;1706;1121
80;1703;1127
78;1705;1128
77;1707;1132
77;1707;1132
81;1707;1124
78;1719;1135
77;1706;1129
77;1707;1128
81;1706;1134
78;1719;1133
78;1719;1129
78;1719;1130
77;1706;1120
80;1687;1116
80;1701;1122
80;1687;1119
80;1687;1119
75;1686;1116
80;1687;1110
80;1687;1110
78;1708;1117
79;1683;1109
78;1707;1113
78;1707;1113
79;1685;1108
77;1673;1107
77;1672;1103
78;1675;1104
77;1672;1103
77;1673;1102
77;1673;1102
77;1672;1098
76;1667;1097
76;1667;1097
76;1667;1097
76;1667;1098
76;1668;1094
76;1668;1094
76;1667;1090
76;1667;1090
76;1668;1092
76;1669;1092
76;1669;1089
76;1669;1091
76;1669;1091
76;1669;1091
76;1669;1091
76;1668;1089
76;1668;1089
76;1668;1089
76;1668;1089
76;1668;1089
76;1668;1089
76;1668;1089
76;1668;1088
76;1668;1088
76;1668;1088
76;1668;1088
76;1668;1088
76;1668;1088
76;1668;1088
76;1668;1088
76;1668;1088
76;1668;1088
76;1668;1088
76;1668;1088
76;1668;1088
76;1668;1088
76;1668;1088
76;1668;1088
76;1668;1088
76;1668;1088
76;1668;1088
76;1668;1088
76;1668;1088
